Title,Price,GPU_Category,VRAM,Description,Link
Näytönohjain MSI GeForce GTX 1060 Gaming X 6G,110.00,1060,Unknown,"Lisätiedot
			Myydään otsikon ja kuvien mukainen käytetty,
toimiva näytönohjain.gpu.userbenchmark.com mukaan kortin nykyarvo on
noin 120 eur. Vain nouto Helsingin Käpylästä,
maksu käteisellä tai MobilePayllä.",https://www.tori.fi/uusimaa/Naytonohjain_MSI_GeForce_GTX_1060_Gaming_X_6G_117653776.htm?ca=18&w=1
ASUS Radeon RX580 4GB (OC edition),80.00,1080,4gb,"Lisätiedot
			Vain nouto, tuote on Konalassa, HelsingissäMyyn näytönohjaimeni, koska olen vaihtanut
tehokkaampaan. Tätä käytettiin kevyesti (20 pelituntia viikossa),
eikä sitä koskaan käytetty kryptolouhintaan. Mukaan tulee alkuperäinen laatikko, jossa kaikki
suojat sisällä.  Tuotteen tekniset tiedot:ASUS Radeon RX580 (VR ready) OC editionGDDR5, 4GB memory.sopii 1080p, 60 fps pelaamiseen",https://www.tori.fi/uusimaa/ASUS_Radeon_RX580_4GB__OC_edition__117645105.htm?ca=18&w=1
GeForce RTX 3060Ti,300.00,3060,Unknown,"Lisätiedot
			Myyn RTX 3060 Ti,koska olin saanut toista
näyttöohjaimen",https://www.tori.fi/uusimaa/GeForce_RTX_3060Ti_117633840.htm?ca=18&w=1
Pelinäytönohjain: Asus GTX 1060,60.00,1060,Unknown,"Lisätiedot
			Asus DUAL-GTX1060-O3GUuden näyttiksen tieltä. Ostin 4060:n eikä kyllä
tullut minulle mitään merkittävää vauhtilisäystä..",https://www.tori.fi/uusimaa/Pelinaytonohjain__Asus_GTX_1060_117626356.htm?ca=18&w=1
Asus DirectCUII R9 280 3GB,30.00,Unknown,3gb,"Lisätiedot
			Molemmat erinomaisessa kunnossa. tehoa löytyy gta
v, cs/cs2 (low med) r6s, residentti 7 eviliinkin,
mafia definitive edition ilman valittamista myösr9 280 30eHalvalla lähtee ja laatutakuulla.Noudolla järvenpäästä",https://www.tori.fi/uusimaa/Asus_DirectCUII_R9_280_3GB_117620041.htm?ca=18&w=1
AMD Radeon RX 6400,100.00,1080,Unknown,"Lisätiedot
			Eli myydään yllämainittu Sapphire AMD Radeon RX
6400 näytönohjain. Tosi vähän käytetty, ollut htpc
koneessa. Pystyy pelaamaan 1080p resoluutiolla.
Ohjain vaatii vain yhden PCI paikan ja on
matalaprofiilinen. Eli käy matalaan koneeseen.
Hiljainen. Jää nyt tarpeettomaksi, toisen
projektin alta. Takuuta on jäljellä vajaat 2
vuotta. Takuukuitin saa  mukaan. Mitat: 170(L)X 56.2(W)X 17.2(H)mm.Nouto. Postitus (postikulut lisätään
hintaan).Tarkemmat tiedot linkistä:
https://www.sapphiretech.com/en/consumer/pulse-radeon-rx-6400-4g-gddr6",https://www.tori.fi/uusimaa/AMD_Radeon_RX_6400_117618833.htm?ca=18&w=1
NVIDIA P106-90 6GB louhinta kone,250.00,480,6gb,"Lisätiedot
			Hyvässä kunnossa louhinta rig9x P106-90 6GB kortti Dynex 7600H 330WDescription : Graphic Card 9 x GPU Mining card
P106-90 6GBPower Connector 7 x 6 Pin 12VPCI-E Slot 9 x PCI-E x 16System Cooler 10 x 9cm 4800rpm coolers (5 x inflow
, 5 x outflow)Power Supply Requirement 1600W (PSU Optional)CPU Intel® Celeron® 3865U Mobile ProcessorMemory 1 x 4GB DDR4 2133 SodimmStorage 1 x 64GB M.2 SATAIII SSDDisplay Output 1 x HDMI 1.4Ethernet 1 x Giga LANUSB Slot 2 x USB3.0, 2 x USB2.0Dimensions 524x295x178mm (Outer Ctn:
625x389x275mm)Weight N.W. 10.5kg, G.W. 12kg, PSU2.2kg, w/PSU
14kgHinta per kpl 250 euroKaikki kerralla (80 kone eli 720 kortti) hinta
16000 euro.( maksuna käy myös crypo)Myös vaito kiinosta! Vaihdossa käy henkilön
ajoneuvot!",https://www.tori.fi/uusimaa/NVIDIA_P106_90_6GB_louhinta_kone_105964389.htm?ca=18&w=1
M: Gainward GeForce GTX 1060 6GB,85.00,1060,6gb,"Lisätiedot
			Gainward GeForce GTX 1060 6GB näytönohjainProduct Name GeForce® GTX 1060 6GB Barcode
426018336-3712 GPU GeForce GTX 1060 GPU Clockspeed 1708 Mhz (boost)/1506 Mhz (base) Memory 6GB GDDR5 (192 bits) Memory Clockspeed 4000Mhz (DDR 8G) Bandwidth 192
GB/sec Bus PCI-Express 3.0 x 16 Cooling 2 Slot Fan cooler Video-Features HDMI v2.0 Connectivity DVI-D + DisplayPort *3 Product Size 252mm x 112mm Power Connector 6-pin Hinta: 85 euroa",https://www.tori.fi/uusimaa/M__Gainward_GeForce_GTX_1060_6GB_117499850.htm?ca=18&w=1
Sapphire Nitro+ 6800XT Vesiblokki,50.00,6800,Unknown,"Lisätiedot
			Alphacoolin blokki ja backplate. Täysin ehjä ja
toimiva. D-RGB (3pin) valaistus. Voin postittaa,
mutta postitus tapahtuu mallilla rahat ensin
tilille.",https://www.tori.fi/uusimaa/Sapphire_Nitro__6800XT_Vesiblokki_117480206.htm?ca=18&w=1
Nvidia GeForce GTX 1070 graphic card,160.00,1070,8gb,"Lisätiedot
			About this itemPowered by the NVIDIA GeForce GTX 1070 graphics
processing unit (GPU)8GB GDDR5 (256-bit) on-board memoryPCI Express 3.0 x16 interfaceNVIDIA CUDA technologyVR-ready",https://www.tori.fi/uusimaa/Nvidia_GeForce_GTX_1070_graphic_card_117457113.htm?ca=18&w=1
Asus GeForce PH-GTX1660S-O6G -näytönohjain,150.00,1660,Unknown,"Lisätiedot
			Myydään täysin käyttämätön Nvidia gtx 1660 super
näytönohjain.Takuuta jäljellä vielä noin 20 kuukautta.",https://www.tori.fi/uusimaa/Asus_GeForce_PH_GTX1660S_O6G__naytonohjain_117453241.htm?ca=18&w=1
Asus GTX 1060 STRIX OC 6GB,70.00,1060,6gb,"Lisätiedot
			Näyttis on ollut hyvässä käytössä, pääsääntöisesti
pelaamisessa ja editoinnissa.Kyiseinen kappale toimii hyvin 1080p pelaamiseen
ja iänsä takia en voi antaa erinomaista
kuntoluokitusta. Myyn pois sillä oon siirtynyt 2k pelaamiseen ja
haluan enemmän tehoja.Mieluiten nouto, mutta tarvittaessa toimitus käy
myös.",https://www.tori.fi/uusimaa/Asus_GTX_1060_STRIX_OC_6GB_117450623.htm?ca=18&w=1
Gigabyte G1 gaming GTX 970,50.00,970,Unknown,"Lisätiedot
			Siisti näyttis orkkis laatikossa. Muistaakseni 3kk
sitten vaihdoin tahnat ja ajoin rasitustestiä
useamman tunnin.Kolmiosainen iso jäähy kolmella tuulettimella, GTX
970 korteista vahvin virransyöttö.",https://www.tori.fi/uusimaa/Gigabyte_G1_gaming_GTX_970_117415732.htm?ca=18&w=1
Nvidia 1080ti 11gb game rock BykSki vesiblokilla,200.00,1080,11gb,"Lisätiedot
			Myydään kuvanmukainen näyttis blokkeineen, väistyy
pelikoneestani uuden näyttiksen tieltä. Mieluiten
nouto vantaan simonkylästä. Kuvan karaliittimet ei
kuulu mukaan.  Mukaan ei tule ilmajäähdytintä.
Toiminut moitteetta ja pyörittää raskaampiakin
pelejä. Kyseisellä kortilla ja blokilla on saatu
näyttiksen tehot vastamaan 3060ti korttia. Kortti
ollut minulla uudesta asti pelikäytössä. Kyseistä korttia myydään ~200eur hinnalla. Blokki
maksaa 100-150eur joten turha tulla kitisemään
hinnasta. Nopeilla kaupoilla voidaan miettiä
hintaa. Vaihdossa voin ottaa, halvan am4 emon
(x470/b550/x570). Myös muuta tietokone osaa voi
tyrkyttää!Simonkylä, Vantaa 0407540282",https://www.tori.fi/uusimaa/Nvidia_1080ti_11gb_game_rock_BykSki_vesiblokilla_117377271.htm?ca=18&w=1
Asus Trix 1080GTX 8Gb näytönohjain,150.00,1080,8gb,"Lisätiedot
			Myynnissä täysin toimiva GTX1080, ollut omassa
käytössä, aikoinaan ostettu jimms kaupasta.Nyt myynnissä kun uusi tullut tilalle. Kaikki
pelit tällä toimii 1080p Ultralla.Käteinen tai mobilepay",https://www.tori.fi/uusimaa/Asus_Trix_1080GTX_8Gb_naytonohjain_117301388.htm?ca=18&w=1
Msi aero 1060 3g,50.00,1050,Unknown,"Lisätiedot
			Myydään hyvin toimiva MSI Aero 1060 3G, joka on
noin 30-50% tehokkaampi kuin pikkuveljensä 1050ti.Pyörittää helposti vanhemmat pelit kuten roblox,
fortnite, league of legends yms.",https://www.tori.fi/uusimaa/Msi_aero_1060_3g_117292860.htm?ca=18&w=1
MSI Aero 1050ti,50.00,1050,Unknown,"Lisätiedot
			Myydään täysin ongelmitta itseä palvellut MSI Aero
1050ti näytönohjain. Toimii pelkällä pcie portin
virralla, eikä täten vaadi erillistä virtajohtoa.Jaksaa pyörittää vanhempia pelejä kuten fortnite,
csgo, league of legends, roblox,  yms.",https://www.tori.fi/uusimaa/MSI_Aero_1050ti_117292487.htm?ca=18&w=1
ASUS RX580 DUAL 8GB Näytönohjain,70.00,580 ,8gb,"Lisätiedot
			Myynnissä ASUS RX580 DUAL 8GB NäytönohjainOllut pelikäytössä n. 3 vuottaValmistajan sivut:https://www.asus.com/fi/motherboards-components/graphics-cards/dual/dual-rx580-o8g/",https://www.tori.fi/uusimaa/ASUS_RX580_DUAL_8GB_Naytonohjain_117287285.htm?ca=18&w=1
RX 580 Sapphire Dual 8GB,80.00,1080,8gb,"Lisätiedot
			Otsikon mukainen näytönohjain uuden alta myyntiin.
Lämmöt pysyy hyvin kurissa kahden tuulettimen
ansioista. Tällä pelaa vielä pitkään 1080p
tarkkuudella.",https://www.tori.fi/uusimaa/RX_580_Sapphire_Dual_8GB_117267247.htm?ca=18&w=1
Gigabyte GTX 750 2GB,30.00,Unknown,2gb,"Lisätiedot
			Päivityksen alta seuraavalle myyntiin.Täysin toimiva näyttis.",https://www.tori.fi/uusimaa/Gigabyte_GTX_750_2GB_117262352.htm?ca=18&w=1
Asus tuf rx5700xt o8g gaming,200.00,5700,Unknown,"Lisätiedot
			Myydään otsikon ja kuvien mukainen ADM Radeon
RX5700XT. Mieluiten nouto, postitus onnistuu.Tarjouksia otetaan vastaan.",https://www.tori.fi/uusimaa/Asus_tuf_rx5700xt_o8g_gaming_117222028.htm?ca=18&w=1
PowerColor RX 580 8Gb,80.00,580 ,8gb,"Lisätiedot
			Myydään hyväkuntoinen PowerColor RX 580 8Gb.Mieluiten nouto mutta postituskin mahdollista.Hinta: 80e",https://www.tori.fi/uusimaa/PowerColor_RX_580_8Gb_117221850.htm?ca=18&w=1
Näytönohjain - MSI GeForce GTX 960 Gaming 4G,60.00,960,4gb,"Lisätiedot
			MSI GeForce GTX 960 Gaming 4G HDMI 3xDP 4GBVoit soittaa, tai tekstata minulle numeroon...WhatsApp:lla sekä normaalisti:Puh. 0400516246Muista katsella muutkin Tori-ilmoitukseni.Kirjainmerkitse Kaikki-Ilmoitukseni Sivut...(Myytävä vaihtuu Usein.)Otan Kaikenlaisia Tarjouksia Vastaan...",https://www.tori.fi/uusimaa/Naytonohjain___MSI_GeForce_GTX_960_Gaming_4G_117204069.htm?ca=18&w=1
Näytönohjain Rx 470,40.00,470,4gb,"Lisätiedot
			Myydään MSI rx470 4gb näyttis.Ollut viime ajat varakorttina kaapissa.",https://www.tori.fi/uusimaa/Naytonohjain_Rx_470_117202488.htm?ca=18&w=1
Asus Strix GTX970 4Gb,45.00,970,4gb,"Lisätiedot
			Moitteeton GTX 970 myynnissä. Otettu pois suoraan
käytöstä. Ollut joskus pelikäytössä ja myöhemmin
ihan kodin viihdeyksikkönä.Nouto Käpylästä ja maksu mobilepaylla.",https://www.tori.fi/uusimaa/Asus_Strix_GTX970_4Gb_117183579.htm?ca=18&w=1
ASUS rx 480,125.00,480,4gb,"Lisätiedot
			SpecsRX 480 4GBVähän käytetty",https://www.tori.fi/uusimaa/ASUS_rx_480_117168706.htm?ca=18&w=1
MSI GTX 980 Gaming 4GB,65.00,980,4gb,"Lisätiedot
			Suoraan käytöstä myyntiin, tällä hetkellä
jokapäiväisessä käytössä. Ei mitään vikoja tai
ongelmia kortin kanssa ollut. Vain liian tehokas
omaan käyttöön.Nouto: PäiväkumpuMaksutapa : Käteinen",https://www.tori.fi/uusimaa/MSI_GTX_980_Gaming_4GB_117122390.htm?ca=18&w=1
Gigabyte GeForce RTX 2070 Super Gaming OC 8G,300.00,2070,8gb,"Lisätiedot
			FeaturesPowered by GeForce® RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory
interface. WINDFORCE 3X Cooling System with
alternate spinning fans RGB Fusion 2.0 synchronize
with other AORUS devices. Metal Back Plate.",https://www.tori.fi/uusimaa/Gigabyte_GeForce_RTX_2070_Super_Gaming_OC_8G_117064601.htm?ca=18&w=1
GTX 1050 mini,25.00,1050,Unknown,"Lisätiedot
			Myynnissä GTX 1050 mini. Tämä näyttis pyörittää
kevyitä pelejä mainiosti mutta graafisesti
raskaampien pelien kanssa sillä on vähän ongelmia.
Tämän näyttön ohjain on hyvä budjetti koneeseen,
koska se tuottaa hyviä tuloksia halvalla
hinnallaan. Ei ole enään tarvetta koska ostin
uuden koneen.",https://www.tori.fi/uusimaa/GTX_1050_mini_117044596.htm?ca=18&w=1
2kpl Radeon HD 6850 cross fire näytönohjainta,50.00,Unknown,Unknown,"Lisätiedot
			Uuden kortin tieltä toimivat kaksi (2) Radeon HD
6850 cross fire näytönohjainta jotka voi yhdistää
toisiinsa.Malli: Toxic HD680 1G GDDR5 PCI-ENouto tai kaupat Kirkkonummi / Länsi-Espoo /
Helsingin keskusta alueella sovittaessa",https://www.tori.fi/uusimaa/2kpl_Radeon_HD_6850_cross_fire_naytonohjainta_116948412.htm?ca=18&w=1
Näyttönhjain GTX 1050ti MSI Gaming X Edition,55.00,1050,Unknown,"Lisätiedot
			Näyttönohain on erinomaisessa kunnossa ja siitä ei
oltu avattu.Jos tulee lisää kysymyksiä kirjoittakaa vaan.",https://www.tori.fi/uusimaa/Nayttonhjain_GTX_1050ti_MSI_Gaming_X_Edition_116938835.htm?ca=18&w=1
RTX 3060,275.00,3060,Unknown,"Lisätiedot
			Vähän käytetty näytönohjain.Ostettu Gigantista 9/21Ostaja maksaa postituksen",https://www.tori.fi/uusimaa/RTX_3060_116931720.htm?ca=18&w=1
Uusi vesijäähdytin kortille GTX 770,30.00,Unknown,Unknown,"Lisätiedot
			Käyttämätön vesijäähdytin kortille GTX 770. Aivan
uusi ja loistokunnossa alkuperäispakkaus mukaan
lukien.Nouto Suutarilasta",https://www.tori.fi/uusimaa/Uusi_vesijaahdytin_kortille_GTX_770_116878196.htm?ca=18&w=1
AMD vega 64 strix OC 8g,150.00,1080,Unknown,"Lisätiedot
			Working like a charm. Selling cos I dont use it anymore. Perfect for 1080p to 2k gaming.",https://www.tori.fi/uusimaa/AMD_vega_64_strix_OC_8g_116868757.htm?ca=18&w=1
MSI GeForce GTX 1650 SUPER VENTUS -näytönohjain,120.00,1650,Unknown,"Lisätiedot
			Myydään täysin toimiva MSI GeForce GTX 1650 SUPER
VENTUS näytönohjain. Postitus tai nouto Espoon Finnoosta. Ostaja maksaa
PK:t.Aikonaan ostettu verkkokauppa.com:sta (kuitti
löytyy), alla kuvaus sieltä: MSI GeForce GTX 1650 SUPER VENTUS XS OC
-näytönohjaimessa suorituskyky ja yksinkertaisuus
yhdistyvät kompaktissa koossa, ja se tarjoaa
uusimman NVIDIA Turing -pelikokemuksen
aidoimmillaan. Ventus-mallit on suunniteltu
jäähdytys edellä. Näytönohjaimen jäähdytyksestä
vastaa massiivinen jäähdytyselementti sekä kaksi
tehokasta MSI:n patentoitua ja palkittua TORX Fan
2.0 -tuuletinta.Lähetä pelikuvaa kuin ammattilaiset -
Livestriimaus Twitchissä tai YouTubessa onnistuu
mahtavilla tehoilla ja näyttävällä kuvanlaadulla.
GTX 1650:n erillinen laite-enkooderi toimii 15%
aiemman sukupolevn näytönohjaimia tehokkaammin ja
se on optimoitu Open Broadcaster Software(OBS)
-ohjelmistoille.GeForce Experience - Tallenna ja jaa videoita,
näyttökuvia ja live-striimejä kavereillesi. Pidä
GeForce-ohjaimesi ajantasalla ja optimoi peliesi
asetukset - GeForce Experience tekee kaiken tämän.
Se on välttämätön kumppani
GeForce-näytönohjaimellesi.Ominaisuudet:    Piiri: GeForce GTX 1650 Super    CUDA-ydinten määrä: 1280    Kellotaajuus: 1740 MHz (Boost)    Muisti: 4096 Mt, 128-bit GDDR6    Muistin kellotaajuus: 12000 MHz    Väylä: PCI-Express 3.0    1 x HDMI 2.0b, 1 x Display Port 1.4, 1 x
DL-DVI-D    Maksimiresoluutio: 7680 x 4320    Näyttöjen maksimimäärä: 3    NVLink/SLI-tuki: Ei    NVIDIA PhysX, CUDA    Adaptive V-Sync -tuki    G-SYNC -tuki    OpenGL 4.6    Mitat: 18 x 11,5 x 4,2 cm    Virtaliittimet: 1 x 6-pin    Virrankulutus: 100 W    Virtalähdesuositus: 350 W",https://www.tori.fi/uusimaa/MSI_GeForce_GTX_1650_SUPER_VENTUS__naytonohjain_116852339.htm?ca=18&w=1
Rx 5700 xt,200.00,5700,Unknown,"Lisätiedot
			Kuvien mukainen näyttis ylimääräisenä myyntiin.",https://www.tori.fi/uusimaa/Rx_5700_xt_116842385.htm?ca=18&w=1
Asus TUF RX5700,180.00,1080,Unknown,"Lisätiedot
			Myydään erittäin hyväkuntoinen AMDn RX5700
näytönohjain. Kortti on puhdistettu sekä siitä on
pidetty ammattimaisesti huolta. Takuuta ei ole
valitettavasti jäljellä.Kortti soveltuu erittäin hyvin 1080p - 1440p
monitoreilla pelaamiseen.Tuote voidaan postittaa turvallisesti, mutta
mieluiten nouto.",https://www.tori.fi/uusimaa/Asus_TUF_RX5700_116827405.htm?ca=18&w=1
Näytönohjain - EVGA GTX 760 Superclocked 2GB,30.00,Unknown,2gb,"Lisätiedot
			EVGA NVIDIA GTX 760 02G-P4-2765-KR Superclocked
2GB GDDR5 PCI-E Video CardVoit soittaa, tai tekstata minulle numeroon...WhatsApp:lla sekä normaalisti:Puh. 0400516246Muista katsella muutkin Tori-ilmoitukseni.Kirjainmerkitse Kaikki-Ilmoitukseni Sivut...(Myytävä vaihtuu Usein.)Otan Kaikenlaisia Tarjouksia Vastaan...",https://www.tori.fi/uusimaa/Naytonohjain___EVGA_GTX_760_Superclocked_2GB_116792392.htm?ca=18&w=1
MSI Geforce gt 1030 oc edition,65.00,Unknown,Unknown,"Lisätiedot
			Vähällä käytöllä ollut näytönohjain, vaikkapa
multimediakoneeseen. Alkuperäinen pakkaus
sisältöineen.HP/Tarjoa",https://www.tori.fi/uusimaa/MSI_Geforce_gt_1030_oc_edition_116758770.htm?ca=18&w=1
MSI Radeon armor Rx 580,110.00,580 ,8gb,"Lisätiedot
			MSI Radeon armor rx580 8gb G5 DVI HDMI256 bitUusi",https://www.tori.fi/uusimaa/MSI_Radeon_armor_Rx_580_116752510.htm?ca=18&w=1
Nvidia gtx 960 2gb näytönohjain,40.00,960,2gb,"Lisätiedot
			Vähällä käytöllä ollut näytönohjain maksu käteinen
tai mobilepay nouto riihikallio tuusula",https://www.tori.fi/uusimaa/Nvidia_gtx_960_2gb_naytonohjain_116749330.htm?ca=18&w=1
Asus ROG Strix GTX 1060 6GB näytönohjain,80.00,1060,6gb,"Lisätiedot
			Hyvässä kunnossa, heti käytöstä pelitietokoneesta.
Vähän pölyinen.",https://www.tori.fi/uusimaa/Asus_ROG_Strix_GTX_1060_6GB_naytonohjain_116748884.htm?ca=18&w=1
Pelikoneen osia,170.00,390,Unknown,"Lisätiedot
			Myydään.2kpl kinston hyperx fury ddr4 muisteja (8gt
yhteensä) 20 eur yhteensämsi geforce gtx 1660 ventus xs 6g oc näytönojain,
1 hdmi portti ei toimi. (2 x hdmi + 2 x DP) 150
eurMYYTY: emolevy msi mpg z390 gaming plus 70 eurMYYTY: prosessori intel i5 9400f 60 eurosina tai kaikki yhteensä 170 eurei postitetanouto espoosta",https://www.tori.fi/uusimaa/Pelikoneen_osia_116720723.htm?ca=18&w=1
Asus gtx 1050,50.00,1050,2gb,"Lisätiedot
			Asus gtx 1050 näytönohjain. Kaksi tuuletinta.
Punamusta. 2GB. Näytönohjaimesta ei kuulu
ylimääräisiä ääniä.",https://www.tori.fi/uusimaa/Asus_gtx_1050_116700461.htm?ca=18&w=1
2kpl GTX 970 + SLI bridge,100.00,970,Unknown,"Lisätiedot
			Myydään 2kpl Nvidia GTX 970 Inno3D näytönohjaimet
+ SLI bridge. Näyttikset ovat jo usean vuoden
vanhoja, mutta pelittävät silti hyvin. Näillä ei
ole ikinä louhittu, vaan ollut pelikäytössä. Mieluiten nouto Herttoniemestä ja mobilepay. Saa
tarjota",https://www.tori.fi/uusimaa/2kpl_GTX_970___SLI_bridge_116668843.htm?ca=18&w=1
GeForce GTX 1660 Ti EVO,140.00,1660,6gb,"Lisätiedot
			Myydään Asus GeForce GTX 1660 Ti TUF Gaming EVO OC
2xHDMI DP 6GBNäytönohjain on ollut vähäisessä käytössä sekä
takuu on vielä voimassa 01.02.2024 asti.",https://www.tori.fi/uusimaa/GeForce_GTX_1660_Ti_EVO_116666271.htm?ca=18&w=1
MSI GTX770 2kpl SLI,50.00,Unknown,Unknown,"Lisätiedot
			Myydään 2kpl GTX770 näytönohjainta, mukaan SLI
silta",https://www.tori.fi/uusimaa/MSI_GTX770_2kpl_SLI_116650682.htm?ca=18&w=1
Nvidia GTX 660 Ti OC,50.00,Unknown,Unknown,"Lisätiedot
			Tästä vanha mutta toimiva näytönohjain.Asus nvidia GTX 660 Ti ocTarjoa.",https://www.tori.fi/uusimaa/Nvidia_GTX_660_Ti_OC_116629178.htm?ca=18&w=1
Asus ROG Strix GeForce GTX1070 8G,120.00,1070,Unknown,"Lisätiedot
			Myydään kyseinen näytönohjain täysin toimivana
pois uuden alta. Alkuperäistä pakkausta ei ole,
joten postitus ei onnistu. Nouto Helsingin
Herttoniemestä.Näytönohjain ollut pelikäytössä ja pyörittänyt
hyvin csgo, modern warfare 2, pubg.",https://www.tori.fi/uusimaa/Asus_ROG_Strix_GeForce_GTX1070_8G_116613154.htm?ca=18&w=1
Koneen osia,150.00,1060,6gb,"Lisätiedot
			Gtx 1060 6gb strix I7-4790K I5-45902x HyperX Rami tikkuja 4gb per tikku2x corsair Rami tikkuja 8gb per tikkuI7 ja 1060 myyty.",https://www.tori.fi/uusimaa/Koneen_osia_116573527.htm?ca=18&w=1
Asus ROG gtx 1650 näytönohjain,100.00,1650,Unknown,"Lisätiedot
			Pari vuotta vanha ja vähän käytetty.Nouto Espoosta.",https://www.tori.fi/uusimaa/Asus_ROG_gtx_1650_naytonohjain_116541397.htm?ca=18&w=1
Msi 780 ti 3gb,40.00,1080,3gb,"Lisätiedot
			Toimiva kortti 1080p pelaamiseen",https://www.tori.fi/uusimaa/Msi_780_ti_3gb_116536718.htm?ca=18&w=1
Aorus GTX 1070 Gaming Box ulkoinen näytönohjain,300.00,1070,Unknown,"Lisätiedot
			Vähäisessä käytössä ollut ulkoinen näytönohjain,
esim. kannettavalle tietokoneelle.Vaatii Thunderbolt 3.Näytönohjainkorttia voi mahdollisesti myös
päivittää?Tarjoa!Saa testata paikan päällä.",https://www.tori.fi/uusimaa/Aorus_GTX_1070_Gaming_Box_ulkoinen_naytonohjain_116433011.htm?ca=18&w=1
MSI GeForce GTX1060 6Gb GamingX,75.00,1060,6gb,"Lisätiedot
			MSI GeForce GTX 1060 6Gb Gaming X GDDR5Pelikäytöstä pois uuden tieltä.Ei mainattu tai kellotettu.myynnissä on niin kauan kuin ilmoituskin on
täällä.nouto/postilla lisäksi S-paketin hinta",https://www.tori.fi/uusimaa/MSI_GeForce_GTX1060_6Gb_GamingX_116287163.htm?ca=18&w=1
Näytönohjaimet Gigabyte GTX 1660 SUPER OC 6GB DDR6,90.00,1660,6gb,"Lisätiedot
			Selling my GPU, an Nvidia 1660 SUPER OCSpecs:GDDR6 Memory, 192 bitsMemory frequency: 14000 MHzWINDFORCE 2X fans for coolingClock @ 1830MHz, overclockable1408 CUDA coresMax res: 7680x4320 @ 60HzBought new July 2020, didn't have extensive use
since.If you want more details, drop a message!",https://www.tori.fi/uusimaa/Naytonohjaimet_Gigabyte_GTX_1660_SUPER_OC_6GB_DDR6_116271182.htm?ca=18&w=1
GIGABYTE AORUS GeForce GTX 1080 Ti Xtreme Edition,550.00,1080,Unknown,"Lisätiedot
			Hyvin toimiva tehokas näytönohjain. Ollut
normaalissa pelikäytössä. Ei vaihtoa. En tingi
hinnasta. https://www.gigabyte.com/Graphics-Card/GV-N108TAORUS-X-11GD#kf Lähetys 8 euroa tai nouto Espoosta Ison Omenan
vierestä.",https://www.tori.fi/uusimaa/GIGABYTE_AORUS_GeForce_GTX_1080_Ti_Xtreme_Edition_116252022.htm?ca=18&w=1
R3G Ulkoinen näyttis telakka,40.00,Unknown,Unknown,"Lisätiedot
			Myynnissä käyttämätön m.2 -> pcie 3.0
näyttistelakka, mukana ei ole virtalähdettä.",https://www.tori.fi/uusimaa/R3G_Ulkoinen_nayttis_telakka_116236381.htm?ca=18&w=1
Asus ATI Radeon näytönohjain,30.00,Unknown,Unknown,"Lisätiedot
			Asuksen ATI radeon näytönohjain Täysin ehjä huippuluokan näytönohjain .Vain nouto",https://www.tori.fi/uusimaa/Asus_ATI_Radeon_naytonohjain_116232148.htm?ca=18&w=1
GeForce GTX960,60.00,960,Unknown,"Lisätiedot
			GeForce GTX960Hyvässä kunnossa",https://www.tori.fi/uusimaa/GeForce_GTX960_116221392.htm?ca=18&w=1
MSI 750Ti 2GB OC,25.00,Unknown,2gb,"Lisätiedot
			siitä hyvä näyttis perus pelaamiseen toimi hyvin
vanhassa koneessa mutta ostin uuden niin jäi
ylimääräiseksi. Pyörittää Csgo noin 200 fps medium
grafiikoilla ja gtav 50-70 fps medium- high
asetuksilla.",https://www.tori.fi/uusimaa/MSI_750Ti_2GB_OC_116205934.htm?ca=18&w=1
Gigabyte 1060 3gb,50.00,1060,3gb,"Lisätiedot
			Myydään gigabyten NVIDIA 1060 3gb näyttis. Myyn
pois uuden tieltäVain nouto Jätkäsaaresta",https://www.tori.fi/uusimaa/Gigabyte_1060_3gb_116163912.htm?ca=18&w=1
Geforce GTX 1060 OC 6gb strix,85.00,1060,6gb,"Lisätiedot
			Geforce Gtx 1060 OC 6gb strix Rog rgb valaistu vr
ready näytönohjain. Pyörittää hyvällä fps llä
laajan valikoiman pelejä ym.https://rog.asus.com/fi/graphics-cards/graphics-cards/rog-strix/rog-strix-gtx1060-o6g-gaming-model/",https://www.tori.fi/uusimaa/Geforce_GTX_1060_OC_6gb_strix_116145753.htm?ca=18&w=1
Bitcoin miner / Geforce GTX 1080TI näytönohj.5 kpl,650.00,1080,Unknown,"Lisätiedot
			Geforce GTX 1080 TI näytönohjaimia 5kpl. Mukana
räkki, liitännät näkyy kuvista. Hyvä maineri :)",https://www.tori.fi/uusimaa/Bitcoin_miner___Geforce_GTX_1080TI_naytonohj_5_kpl_115992130.htm?ca=18&w=1
Näytönohjain - CLUB3D Radeon HD 7970 3GB,30.00,970,3gb,"Lisätiedot
			CLUB3D Radeon HD 7970 AMD 3 GBVoit soittaa, tai tekstata minulle numeroon...WhatsApp:lla sekä normaalisti:Puh. 0400516246Muista katsella muutkin Tori-ilmoitukseni.Kirjainmerkitse Kaikki-Ilmoitukseni Sivut...(Myytävä vaihtuu Usein.)Otan Kaikenlaisia Tarjouksia Vastaan...",https://www.tori.fi/uusimaa/Naytonohjain___CLUB3D_Radeon_HD_7970_3GB_115712890.htm?ca=18&w=1
